' Make',' Model',Year,price ,' Engine Type',Fuel Economy,' Transmission',' Drivetrain',' Safety Ratings'
' BMW',' X5',2021,5230459,' Diesel',28.5,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2023,6181563,' Diesel',26,' Manual',' RWD',' 5 stars'
' BMW',' X5',2022,5012076,' Diesel',24.4,' Manual',' RWD',' 5 stars'
' BMW',' X5',2020,5805564,' Diesel',27.1,' Manual',' RWD',' 5 stars'
' BMW',' X5',2019,596845,' Diesel',25.7,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2021,5768056,' Diesel',25.8,' Manual',' FWD',' 5 stars'
' BMW',' X5',2018,709052,' Diesel',26.6,' Manual',' FWD',' 5 stars'
' BMW',' X5',2021,6487247,' Diesel',26.7,' Manual',' FWD',' 5 stars'
' BMW',' X5',2020,5235551,' Diesel',24.4,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2022,6962873,' Diesel',28.2,' Manual',' AWD',' 5 stars'
' BMW',' X5',2017,5638672,' Diesel',26.8,' Manual',' RWD',' 5 stars'
' BMW',' X5',2022,6175954,' Diesel',26.6,' Manual',' AWD',' 5 stars'
' BMW',' X5',2023,6550986,' Diesel',26.2,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2016,6300749,' Diesel',28.1,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2021,5237556,' Diesel',25.2,' Manual',' FWD',' 5 stars'
' BMW',' X5',2021,694829,' Diesel',25.7,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2016,6563127,' Diesel',29.3,' Manual',' FWD',' 5 stars'
' BMW',' X5',2019,7183275,' Diesel',28.6,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2018,5715687,' Diesel',28,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2022,7119866,' Diesel',28.2,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2022,6567405,' Diesel',27,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2015,6247079,' Diesel',26.2,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2016,6820442,' Diesel',25.8,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2019,7102188,' Diesel',29.3,' Manual',' RWD',' 5 stars'
' BMW',' X5',2020,4963635,' Diesel',29.1,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2020,594837,' Diesel',27,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2017,6711573,' Diesel',27.2,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2016,6023418,' Diesel',24.3,' Manual',' FWD',' 5 stars'
' BMW',' X5',2023,6057776,' Diesel',27.5,' Manual',' RWD',' 5 stars'
' BMW',' X5',2022,6333827,' Diesel',28.9,' Manual',' RWD',' 5 stars'
' BMW',' X5',2016,4838966,' Diesel',26.7,' Manual',' AWD',' 5 stars'
' BMW',' X5',2019,4955374,' Diesel',29.2,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2015,6229127,' Diesel',26.1,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2019,5155837,' Diesel',25.1,' Manual',' RWD',' 5 stars'
' BMW',' X5',2016,5011467,' Diesel',28.2,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2017,6332583,' Diesel',28.8,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2018,6936092,' Diesel',24.9,' Manual',' FWD',' 5 stars'
' BMW',' X5',2021,6032669,' Diesel',25,' Manual',' RWD',' 5 stars'
' BMW',' X5',2022,5767593,' Diesel',28.8,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2021,6483305,' Diesel',27.3,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2021,6038586,' Diesel',29.6,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2023,5988201,' Diesel',26.9,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2017,5021728,' Diesel',29.6,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2021,6123921,' Diesel',28.5,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2018,6420408,' Diesel',27.4,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2017,6665358,' Diesel',24.7,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2016,6759837,' Diesel',26.7,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2022,5483849,' Diesel',26.3,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2019,5807907,' Diesel',26.3,' Manual',' AWD',' 5 stars'
' BMW',' X5',2021,7119942,' Diesel',25.2,' Manual',' AWD',' 5 stars'
' BMW',' X5',2017,715995,' Diesel',27.3,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2019,5362942,' Diesel',26.6,' Manual',' AWD',' 5 stars'
' BMW',' X5',2021,598615,' Diesel',25.7,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2021,51973,' Diesel',26.2,' Manual',' FWD',' 5 stars'
' BMW',' X5',2018,5607969,' Diesel',27.9,' Manual',' FWD',' 5 stars'
' BMW',' X5',2023,5327861,' Diesel',26.8,' Manual',' AWD',' 5 stars'
' BMW',' X5',2020,5974205,' Diesel',24.3,' Manual',' FWD',' 5 stars'
' BMW',' X5',2019,6277123,' Diesel',25.7,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2021,6663509,' Diesel',28.4,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2017,4819358,' Diesel',27.1,' Manual',' FWD',' 5 stars'
' BMW',' X5',2020,6325239,' Diesel',25.7,' Manual',' RWD',' 5 stars'
' BMW',' X5',2016,6997145,' Diesel',26.1,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2016,6983711,' Diesel',26.9,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2023,5671101,' Diesel',26.7,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2023,627808,' Diesel',27.1,' Manual',' RWD',' 5 stars'
' BMW',' X5',2019,5259991,' Diesel',25.6,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2021,6833462,' Diesel',28.2,' Manual',' FWD',' 5 stars'
' BMW',' X5',2023,6494086,' Diesel',25.2,' Manual',' RWD',' 5 stars'
' BMW',' X5',2023,5634547,' Diesel',29,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2018,4984441,' Diesel',24.5,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2019,6682701,' Diesel',28.3,' Manual',' AWD',' 5 stars'
' BMW',' X5',2023,6943926,' Diesel',25.9,' Manual',' RWD',' 5 stars'
' BMW',' X5',2022,6987044,' Diesel',26,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2016,6948326,' Diesel',26.4,' Manual',' AWD',' 5 stars'
' BMW',' X5',2018,6270098,' Diesel',29.1,' Manual',' RWD',' 5 stars'
' BMW',' X5',2023,6673423,' Diesel',26.7,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2020,6572461,' Diesel',26.7,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2016,6176221,' Diesel',27.6,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2019,5570922,' Diesel',27.9,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2022,5956596,' Diesel',25.5,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2023,5720018,' Diesel',25.2,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2018,2449933,' Gasoline',23.3,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2015,243782,' Gasoline',21,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2022,2677725,' Gasoline',20.9,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2018,3008208,' Gasoline',20.8,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2019,2663052,' Gasoline',23.7,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2020,2643342,' Gasoline',20,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2023,2437513,' Gasoline',22,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2022,2610868,' Gasoline',23.5,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2020,2990625,' Gasoline',21.4,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2015,2522216,' Gasoline',20,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2015,2215436,' Gasoline',24.2,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2018,3118847,' Gasoline',19.9,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2018,217945,' Gasoline',22.9,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2023,2284728,' Gasoline',22.3,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2015,3175551,' Gasoline',21.1,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2017,2659468,' Gasoline',23.7,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2023,2835651,' Gasoline',19.9,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2017,2548941,' Gasoline',21,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2021,2683623,' Gasoline',23,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2020,2983244,' Gasoline',21.2,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2023,2232565,' Gasoline',24.1,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2020,3071222,' Gasoline',22.6,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2016,2458992,' Gasoline',23.1,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2017,2372327,' Gasoline',20.1,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2018,3097941,' Gasoline',24,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2017,2318406,' Gasoline',20.5,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2017,2882479,' Gasoline',22.3,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2022,2464963,' Gasoline',21.8,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2022,231311,' Gasoline',22.6,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2019,2522842,' Gasoline',22.2,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2017,2544502,' Gasoline',24.2,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2017,2164448,' Gasoline',23.8,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2021,21631,' Gasoline',23,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2016,312809,' Gasoline',21.1,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2017,2274126,' Gasoline',22.9,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2021,2708581,' Gasoline',21.9,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2015,2168921,' Gasoline',21.9,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2017,2395597,' Gasoline',23,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2016,2252716,' Gasoline',23.1,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2021,3049109,' Gasoline',22,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2017,2983764,' Gasoline',24.1,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2016,2462283,' Gasoline',22.5,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2016,296756,' Gasoline',20.7,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2016,2899291,' Gasoline',21.4,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2019,2486291,' Gasoline',24.1,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2018,2454764,' Gasoline',21.9,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2016,3152849,' Gasoline',22.2,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2016,2287644,' Gasoline',21.8,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2018,2428907,' Gasoline',21,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2015,2378945,' Gasoline',22.9,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2023,2725744,' Gasoline',20.9,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2023,2752578,' Gasoline',22.3,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2016,3104835,' Gasoline',22.1,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2015,2524272,' Gasoline',22,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2020,3081485,' Gasoline',21.3,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2020,2785269,' Gasoline',21,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2021,2406301,' Gasoline',21.2,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2021,2426145,' Gasoline',22.8,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2018,3043785,' Gasoline',21.7,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2020,3114873,' Gasoline',22,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2023,3103205,' Gasoline',24,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2017,304177,' Gasoline',23.1,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2019,2681994,' Gasoline',20.4,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2020,2595681,' Gasoline',19.9,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2022,2567052,' Gasoline',22.6,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2020,3108307,' Gasoline',21,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2023,2853124,' Gasoline',19.9,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2019,2584075,' Gasoline',22.4,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2016,3133874,' Gasoline',24.1,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2020,229349,' Gasoline',23.3,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2016,2732667,' Gasoline',22.6,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2020,3198929,' Gasoline',21.9,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2020,307334,' Gasoline',19.9,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2017,2292759,' Gasoline',20.5,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2020,2978299,' Gasoline',23.2,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2022,2220766,' Gasoline',23.8,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2022,3223881,' Gasoline',20.2,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2023,231301,' Gasoline',21.8,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2023,2383319,' Gasoline',21.8,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2023,2282335,' Gasoline',21.9,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2022,2160987,' Gasoline',23.8,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2016,2560987,' Gasoline',22.1,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2021,2731711,' Gasoline',23,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2019,236726,' Gasoline',20,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2015,2881536,' Gasoline',20.9,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2020,2969205,' Gasoline',20.7,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2016,2406424,' Gasoline',20.1,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2023,2755604,' Gasoline',22.8,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2018,2681445,' Gasoline',22.6,' Manual',' AWD',' 5 stars'
' Ford',' Mustang',2019,2509289,' Gasoline',20.7,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2020,2261484,' Gasoline',23.8,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2023,232904,' Gasoline',21.7,' Automatic',' AWD',' 5 stars'
' Ford',' Mustang',2018,2397592,' Gasoline',24,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2017,2745963,' Gasoline',20.4,' Automatic',' RWD',' 5 stars'
' Ford',' Mustang',2015,2168042,' Gasoline',24,' Automatic',' FWD',' 5 stars'
' Ford',' Mustang',2019,3033862,' Gasoline',23.4,' Manual',' RWD',' 5 stars'
' Ford',' Mustang',2020,2655583,' Gasoline',22.4,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2019,2299643,' Gasoline',23.1,' Manual',' FWD',' 5 stars'
' Ford',' Mustang',2017,2282748,' Gasoline',20.3,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2017,2246562,' Gasoline',38.3,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2019,2337307,' Gasoline',33.3,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2017,1799508,' Gasoline',36.7,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2019,1910732,' Gasoline',38.3,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2022,1930539,' Gasoline',34.9,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2019,2527287,' Gasoline',33.5,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2019,1832534,' Gasoline',32.7,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2020,1982325,' Gasoline',39.3,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2017,1996615,' Gasoline',32.7,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2017,1796556,' Gasoline',38.1,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2015,1867416,' Gasoline',34.5,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2022,2109549,' Gasoline',39.1,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2015,1853026,' Gasoline',34.3,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2018,2383496,' Gasoline',36.4,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2022,1794263,' Gasoline',36,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2022,1831798,' Gasoline',33.6,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2015,2203088,' Gasoline',35,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2020,2040877,' Gasoline',34.9,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2023,190'911'2,' Gasoline',35.7,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2018,2301874,' Gasoline',35.4,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2017,1850852,' Gasoline',35.7,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2019,241401,' Gasoline',38.8,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2022,2569691,' Gasoline',39.2,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2021,2448237,' Gasoline',39.3,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2019,1945266,' Gasoline',34,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2017,2172031,' Gasoline',34.7,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2022,2154914,' Gasoline',36.1,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2016,1807672,' Gasoline',33.5,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2023,2589389,' Gasoline',36.4,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2020,2303621,' Gasoline',39.5,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2019,1764106,' Gasoline',38.5,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2021,1760902,' Gasoline',36.2,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2019,2224135,' Gasoline',37.6,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2016,2464183,' Gasoline',39.2,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2016,2554702,' Gasoline',32.9,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2022,1909527,' Gasoline',32.4,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2016,1917671,' Gasoline',37.7,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2023,2481913,' Gasoline',39.4,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2021,2330783,' Gasoline',36.6,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2022,2002804,' Gasoline',34.2,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2022,245692,' Gasoline',39.1,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2015,2232776,' Gasoline',37,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2020,2374951,' Gasoline',36.7,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2022,1855'911',' Gasoline',35.2,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2020,1853689,' Gasoline',38.4,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2018,1789203,' Gasoline',37.9,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2018,2208671,' Gasoline',39.6,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2021,2589124,' Gasoline',38.1,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2015,2081605,' Gasoline',37.5,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2018,2301275,' Gasoline',35,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2022,210351,' Gasoline',36.4,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2018,2402993,' Gasoline',39.2,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2022,2523097,' Gasoline',32.4,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2019,2363271,' Gasoline',36.7,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2015,178027,' Gasoline',39.3,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2015,2523559,' Gasoline',38.4,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2022,2592543,' Gasoline',37.8,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2016,2121868,' Gasoline',33.6,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2017,1976763,' Gasoline',32.5,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2022,2519057,' Gasoline',38.4,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2016,1869279,' Gasoline',36.7,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2016,1896112,' Gasoline',35.4,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2019,2065784,' Gasoline',36.6,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2016,2506967,' Gasoline',36.6,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2016,2291496,' Gasoline',35.6,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2018,242606,' Gasoline',35.6,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2021,194185,' Gasoline',33.6,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2023,2527601,' Gasoline',37.9,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2016,1899921,' Gasoline',34.3,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2018,1797529,' Gasoline',35.9,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2020,1825453,' Gasoline',35.4,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2023,1813076,' Gasoline',32.5,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2023,2498317,' Gasoline',36.7,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2016,1883492,' Gasoline',37.3,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2017,2151556,' Gasoline',38.2,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2018,225391,' Gasoline',36.2,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2022,2069636,' Gasoline',32.8,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2017,2481168,' Gasoline',37.9,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2017,1777318,' Gasoline',35.6,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2021,2006109,' Gasoline',38.9,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2020,2603351,' Gasoline',32.9,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2016,2317498,' Gasoline',39.4,' Manual',' FWD',' 5 stars'
' Honda',' Civic',2015,2075189,' Gasoline',38.8,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2021,1915259,' Gasoline',34.8,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2018,179497,' Gasoline',34.3,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2018,1882917,' Gasoline',38.4,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2019,1948939,' Gasoline',33.8,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2015,2177423,' Gasoline',39.4,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2023,2392799,' Gasoline',39.5,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2020,2274336,' Gasoline',36.2,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2022,253019,' Gasoline',36.8,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2021,2307426,' Gasoline',36.9,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2015,2287675,' Gasoline',37.1,' Automatic',' AWD',' 5 stars'
' Honda',' Civic',2017,2546982,' Gasoline',34.3,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2016,2154279,' Gasoline',38.2,' Manual',' AWD',' 5 stars'
' Honda',' Civic',2019,2003298,' Gasoline',34.5,' Automatic',' RWD',' 5 stars'
' Honda',' Civic',2021,2503923,' Gasoline',39.2,' Manual',' RWD',' 5 stars'
' Honda',' Civic',2018,2546271,' Gasoline',35.3,' Automatic',' FWD',' 5 stars'
' Honda',' Civic',2019,2392826,' Gasoline',34.4,' Manual',' AWD',' 5 stars'
' Tesla',' Model S',2018,8467672,' Electric',112.5,' Automatic',' AWD',' 5 stars'
' Tesla',' Model S',2021,8353469,' Electric',117.7,' Manual',' RWD',' 5 stars'
' Tesla',' Model S',2023,9018782,' Electric',120.6,' Manual',' FWD',' 5 stars'
